"--Please select--","--Please select--"
MageSuite,MageSuite
"Google Structured Data","Google Structured Data"
Breadcrumbs,Breadcrumbs
Enabled,Enabled
Organization,Organization
"Organization Name","Organization Name"
"Logo Url","Logo Url"
Description,Description
Country,Country
Region,Region
"Postal Code","Postal Code"
City,City
Sales,Sales
"Technical Support","Technical Support"
"Customer Support","Customer Support"
"Search Box","Search Box"
"Social Media Profiles","Social Media Profiles"
Facebook,Facebook
Twitter,Twitter
Google+,Google+
Instagram,Instagram
YouTube,YouTube
LinkedIn,LinkedIn
Myspace,Myspace
Pinterest,Pinterest
SoundCloud,SoundCloud
Tumblr,Tumblr
Category,Category
Product,Product
"Show Rating","Show Rating"
Brand,Brand
Manufacturer,Manufacturer
